Título,Fecha,SJR (SCImago),SNIP,H-index de la revista,Editorial,Citas,Lecturas (Estimadas)
Crowd Evacuation Management with Optimal Time-Multiplexed Exit-Choice Recommendations through Simulation Optimization,2024-07-01,No disponible,No disponible,No disponible,Desconocido,0,96
Impact of Static Urban Traffic Flow-Based Traffic Weighted Multi-Maps Routing Strategies on Pollutant Emissions,2024-03-01,No disponible,No disponible,No disponible,Desconocido,0,96
Application of Traffic Weighted Multi-Maps Based on Disjoint Routing Areas for Static Traffic Assignment,2023-09-01,No disponible,No disponible,No disponible,Desconocido,1,96
Linear and nonlinear Model Predictive Control (MPC) for regulating pedestrian flows with discrete speed instructions,2023-09-01,0.661,1.077,"[Citescoreinfolist(year=2023, citescore=7.2), Citescoreinfolist(year=2024, citescore=5.7)]",Elsevier B.V.,4,96
Multiple-Input-Single-Output prediction models of crowd dynamics for Model Predictive Control (MPC) of crowd evacuations,2023-09-01,2.86,2.724,"[Citescoreinfolist(year=2023, citescore=15.8), Citescoreinfolist(year=2024, citescore=13.9)]",Elsevier Ltd,2,96
Traffic Assignment Optimization Using Flow-Based Multi-maps,2023-01-01,0.606,0.59,"[Citescoreinfolist(year=2023, citescore=2.6), Citescoreinfolist(year=2024, citescore=2.0)]",Springer Science and Business Media Deutschland GmbH,2,96
Adaptive cell-based evacuation systems for leader-follower crowd evacuation,2022-07-01,2.86,2.724,"[Citescoreinfolist(year=2023, citescore=15.8), Citescoreinfolist(year=2024, citescore=13.9)]",Elsevier Ltd,24,96
CellEVAC: An adaptive guidance system for crowd evacuation through behavioral optimization,2021-07-01,1.282,2.091,"[Citescoreinfolist(year=2023, citescore=13.0), Citescoreinfolist(year=2024, citescore=11.4)]",Elsevier B.V.,31,96
Modeling Driving Experience in Smart Traffic Routing Scenarios: Application to Traffic Multi-Map Routing,2021-01-01,No disponible,No disponible,No disponible,Desconocido,6,96
Application of Traffic Weighted Multi-Map Optimization Strategies to Traffic Assignment,2021-01-01,No disponible,No disponible,No disponible,Desconocido,3,96
Led wristbands for cell-based crowd evacuation: An adaptive exit-choice guidance system architecture,2020-11-01,0.786,1.247,"[Citescoreinfolist(year=2023, citescore=7.3), Citescoreinfolist(year=2024, citescore=7.4)]",Multidisciplinary Digital Publishing Institute (MDPI),7,96
MuTraff: A smart-city multi-map traffic routing framework,2019-12-02,0.786,1.247,"[Citescoreinfolist(year=2023, citescore=7.3), Citescoreinfolist(year=2024, citescore=7.4)]",Multidisciplinary Digital Publishing Institute (MDPI),3,96
Crowd Evacuation Management with Optimal Time-Multiplexed Exit-Choice Recommendations through Simulation Optimization,2024-07-01,No disponible,No disponible,No disponible,Desconocido,0,419
Impact of Static Urban Traffic Flow-Based Traffic Weighted Multi-Maps Routing Strategies on Pollutant Emissions,2024-03-01,No disponible,No disponible,No disponible,Desconocido,0,419
Application of Traffic Weighted Multi-Maps Based on Disjoint Routing Areas for Static Traffic Assignment,2023-09-01,No disponible,No disponible,No disponible,Desconocido,1,419
Linear and nonlinear Model Predictive Control (MPC) for regulating pedestrian flows with discrete speed instructions,2023-09-01,0.661,1.077,"[Citescoreinfolist(year=2023, citescore=7.2), Citescoreinfolist(year=2024, citescore=5.7)]",Elsevier B.V.,4,419
Multiple-Input-Single-Output prediction models of crowd dynamics for Model Predictive Control (MPC) of crowd evacuations,2023-09-01,2.86,2.724,"[Citescoreinfolist(year=2023, citescore=15.8), Citescoreinfolist(year=2024, citescore=13.9)]",Elsevier Ltd,2,419
Traffic Assignment Optimization Using Flow-Based Multi-maps,2023-01-01,0.606,0.59,"[Citescoreinfolist(year=2023, citescore=2.6), Citescoreinfolist(year=2024, citescore=2.0)]",Springer Science and Business Media Deutschland GmbH,2,419
System Identification for the design of behavioral controllers in crowd evacuations,2022-11-01,2.86,2.724,"[Citescoreinfolist(year=2023, citescore=15.8), Citescoreinfolist(year=2024, citescore=13.9)]",Elsevier Ltd,10,419
Adaptive cell-based evacuation systems for leader-follower crowd evacuation,2022-07-01,2.86,2.724,"[Citescoreinfolist(year=2023, citescore=15.8), Citescoreinfolist(year=2024, citescore=13.9)]",Elsevier Ltd,24,419
CellEVAC: An adaptive guidance system for crowd evacuation through behavioral optimization,2021-07-01,1.282,2.091,"[Citescoreinfolist(year=2023, citescore=13.0), Citescoreinfolist(year=2024, citescore=11.4)]",Elsevier B.V.,31,419
Modeling Driving Experience in Smart Traffic Routing Scenarios: Application to Traffic Multi-Map Routing,2021-01-01,No disponible,No disponible,No disponible,Desconocido,6,419
Application of Traffic Weighted Multi-Map Optimization Strategies to Traffic Assignment,2021-01-01,No disponible,No disponible,No disponible,Desconocido,3,419
Led wristbands for cell-based crowd evacuation: An adaptive exit-choice guidance system architecture,2020-11-01,0.786,1.247,"[Citescoreinfolist(year=2023, citescore=7.3), Citescoreinfolist(year=2024, citescore=7.4)]",Multidisciplinary Digital Publishing Institute (MDPI),7,419
